[2025-02-13 20:30:22] Watchdog received: HBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:22] Watchdog received: HBHB from /tmp/target_pipe
[2025-02-13 20:30:24] Watchdog received: HBHB from /tmp/blackboard_pipe
[2025-02-13 20:30:24] Watchdog received: HBHB from /tmp/dynamics_pipe
[2025-02-13 20:30:24] Watchdog received: HBHB from /tmp/keyboard_pipe
[2025-02-13 20:30:24] Watchdog received: HBHB from /tmp/window_pipe
[2025-02-13 20:30:24] Watchdog received: HBHBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:24] Watchdog received: HBHBHB from /tmp/target_pipe
[2025-02-13 20:30:26] Watchdog received: HBHBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:26] Watchdog received: HBHBHB from /tmp/target_pipe
[2025-02-13 20:30:28] Watchdog received: HBHBHB from /tmp/blackboard_pipe
[2025-02-13 20:30:28] Watchdog received: HBHBHB from /tmp/dynamics_pipe
[2025-02-13 20:30:28] Watchdog received: HBHBHB from /tmp/keyboard_pipe
[2025-02-13 20:30:28] Watchdog received: HBHBHB from /tmp/window_pipe
[2025-02-13 20:30:28] Watchdog received: HBHBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:28] Watchdog received: HBHBHB from /tmp/target_pipe
[2025-02-13 20:30:30] Watchdog received: HBHBHB from /tmp/dynamics_pipe
[2025-02-13 20:30:30] Watchdog received: HBHBHB from /tmp/keyboard_pipe
[2025-02-13 20:30:30] Watchdog received: HBHBHB from /tmp/window_pipe
[2025-02-13 20:30:30] Watchdog received: HBHBHB from /tmp/obstacle_pipe
[2025-02-13 20:30:30] Watchdog received: HBHBHB from /tmp/target_pipe
